Produktgruppe,RowID,Kontrolle,K von,BE am,BE von,K am,K2 von,C am,C von,Reopen C2 am,Reopen C2 von
NA,1276034834108292,,EK,,LK,,,,,,
NA,5779634461478788,,EK,,SM,,EK,,,,
NA,3527834647793540,,EK,,SM,,EK,,,,
NA,8031434275164036,,HI,,,,,,,,
NA,713084880686980,,EK,,LK,,,,,,
NA,5216684508057476,,HI,,,,,,,,
NA,2964884694372228,,EK,,EK,,EK,,,,
NA,7468484321742724,,EK,,,,,,,,
NA,1838984787529604,,EK,,LK,,DM,,,,
NA,6342584414900100,,EK,,LK,,,,,,
NA,4090784601214852,,JHU,,,,,,,,
NA,8594384228585348,,,,,,,,,,
NA,431609903976324,,EK,,LK,,DM,,,,
NA,4935209531346820,,EK,,LK,,DM,,,,
NA,2683409717661572,,SM,,,,,,,,
NA,7187009345032068,,HI,,LK,,,,,,
NA,1557509810818948,,SM,,JHU,,DM,,,,
NA,6061109438189444,,EK,,LK,,EK,,,,
NA,3809309624504196,,EK,,LK,,DM,,,,
NA,8312909251874692,,EK,,SM,,EK,,,,
NA,994559857397636,,EK,,SM,,EK,,,,
NA,5498159484768132,,EK,,SM,,EK,,,,
NA,3246359671082884,,HI,,,,,,,,
NA,7749959298453380,,HI,,,,,,,,
NA,2120459764240260,,EK,,LK,,DM,,,,
NA,6624059391610756,,EK,,,,,,,,
NA,4372259577925508,,EK,,,,,,,,
NA,8875859205296004,,EK,,LK,,,,,,
NA,79766183088004,,JHU,,,,,,,,
NA,4583365810458500,,,,,,,,,,
NA,2331565996773252,,EK,,,,,,,,
NA,6835165624143748,,DM,,,,,,,,
NA,1205666089930628,,EK,,LK,,,,,,
NA,5709265717301124,,EK,,LK,,EK,,,,
NA,3457465903615876,,EK,,LK,,DM,,,,
NA,7961065530986372,,EK,,LK,,,,,,
NA,642716136509316,,EK,,,,,,,,
NA,5146315763879812,,EK,,SM,,EK,,,,
NA,2894515950194564,,EK,,LK,,DM,,,,
NA,7398115577565060,,EK,,LK,,DM,,,,
NA,1768616043351940,,JHU,,,,,,,,
NA,6272215670722436,,EK,,LK,,DM,,,,
NA,4020415857037188,,EK,,,,,,,,
NA,8524015484407684,,EK,,,,,,,,
NA,361241159798660,,EK,,LK,,DM,,,,
NA,4864840787169156,,EK,,,,,,,,
NA,2613040973483908,,JHU,,,,,,,,
NA,7116640600854404,,,,,,,,,,
NA,1487141066641284,,EK,,,,,,,,
NA,5990740694011780,,DM,,,,,,,,
NA,3738940880326532,,EK,,LK,,EK,,,,
NA,8242540507697028,,EK,,LK,,EK,,,,
NA,924191113219972,,EK,,,,,,,,
NA,5427790740590468,,EK,,LK,,,,,,
NA,3175990926905220,,EK,,SM,,EK,,,,
NA,7679590554275716,,EK,,SM,,EK,,,,
NA,2050091020062596,,EK,,,,,,,,
NA,6553690647433092,,EK,,LK,,DM,,,,
NA,4301890833747844,,JHU,,,,,,,,
NA,8805490461118340,,EK,,EK,,EK,,,,
NA,220503671443332,,EK,,,,,,,,
NA,4724103298813828,,EK,,LK,,DM,,,,
NA,2472303485128580,,,,,,,,,,
NA,6975903112499076,,EK,,EK,,DM,,,,
